[2023-06-08 21:01:09,994] INFO 13 Connection with mongo db is established
[2023-06-08 21:01:10,763] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 21:01:10,763] DEBUG 335 Requesting OCSP data
[2023-06-08 21:01:10,763] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 21:01:10,795] DEBUG 227 Starting new HTTP connection (1): r3.o.lencr.org:80
[2023-06-08 21:01:10,810] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 21:01:10,810] DEBUG 335 Requesting OCSP data
[2023-06-08 21:01:10,810] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 21:01:10,810] DEBUG 227 Starting new HTTP connection (1): r3.o.lencr.org:80
[2023-06-08 21:01:10,920] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 21:01:10,920] DEBUG 335 Requesting OCSP data
[2023-06-08 21:01:10,920] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 21:01:10,920] DEBUG 227 Starting new HTTP connection (1): r3.o.lencr.org:80
[2023-06-08 21:01:10,967] DEBUG 452 http://r3.o.lencr.org:80 "POST / HTTP/1.1" 200 503
[2023-06-08 21:01:10,967] DEBUG 452 http://r3.o.lencr.org:80 "POST / HTTP/1.1" 200 503
[2023-06-08 21:01:10,967] DEBUG 258 OCSP response status: <OCSPResponseStatus.SUCCESSFUL: 0>
[2023-06-08 21:01:10,967] DEBUG 258 OCSP response status: <OCSPResponseStatus.SUCCESSFUL: 0>
[2023-06-08 21:01:10,967] DEBUG 214 Verifying response
[2023-06-08 21:01:10,967] DEBUG 214 Verifying response
[2023-06-08 21:01:10,967] DEBUG 159 Responder is issuer
[2023-06-08 21:01:10,967] DEBUG 159 Responder is issuer
[2023-06-08 21:01:10,982] DEBUG 271 Caching OCSP response.
[2023-06-08 21:01:10,982] DEBUG 271 Caching OCSP response.
[2023-06-08 21:01:10,982] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 21:01:10,982] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 21:01:11,045] DEBUG 452 http://r3.o.lencr.org:80 "POST / HTTP/1.1" 200 503
[2023-06-08 21:01:11,045] DEBUG 258 OCSP response status: <OCSPResponseStatus.SUCCESSFUL: 0>
[2023-06-08 21:01:11,045] DEBUG 214 Verifying response
[2023-06-08 21:01:11,045] DEBUG 159 Responder is issuer
[2023-06-08 21:01:11,045] DEBUG 271 Caching OCSP response.
[2023-06-08 21:01:11,045] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 21:01:11,689] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 21:01:11,689] DEBUG 335 Requesting OCSP data
[2023-06-08 21:01:11,689] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 21:01:11,689] DEBUG 238 Using cached OCSP response.
[2023-06-08 21:01:11,689] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 21:01:11,721] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 21:01:11,721] DEBUG 335 Requesting OCSP data
[2023-06-08 21:01:11,721] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 21:01:11,721] DEBUG 238 Using cached OCSP response.
[2023-06-08 21:01:11,721] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 21:01:11,768] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 21:01:11,768] DEBUG 335 Requesting OCSP data
[2023-06-08 21:01:11,768] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 21:01:11,768] DEBUG 238 Using cached OCSP response.
[2023-06-08 21:01:11,768] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 21:01:11,799] DEBUG 309 Peer did not staple an OCSP response
[2023-06-08 21:01:11,799] DEBUG 335 Requesting OCSP data
[2023-06-08 21:01:11,799] DEBUG 339 Trying http://r3.o.lencr.org
[2023-06-08 21:01:11,799] DEBUG 238 Using cached OCSP response.
[2023-06-08 21:01:11,799] DEBUG 346 OCSP cert status: <OCSPCertStatus.GOOD: 0>
[2023-06-08 21:01:25,068] INFO 20 Dataframe has been loaded in df variable
[2023-06-08 21:01:28,238] INFO 25 File is saved in folder
